,Name,Author,Genre,Price
156,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,Non Fiction,15.0
342,Where the Crawdads Sing,Delia Owens,Fiction,15.0
80,Educated: A Memoir,Tara Westover,Non Fiction,15.0
127,Humans of New York,Brandon Stanton,Non Fiction,15.0
315,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,Non Fiction,15.0
7,A Gentleman in Moscow: A Novel,Amor Towles,Fiction,15.0
346,Winter of the World: Book Two of the Century Trilogy,Ken Follett,Fiction,15.0
238,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,Non Fiction,15.0
31,Being Mortal: Medicine and What Matters in the End,Atul Gawande,Non Fiction,15.0
83,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,Fiction,15.0
300,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Non Fiction,15.0
61,Divergent,Veronica Roth,Fiction,15.0
58,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,Fiction,15.0
55,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,Non Fiction,15.0
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Non Fiction,15.0
325,True Compass: A Memoir,Edward M. Kennedy,Non Fiction,15.0
341,When Breath Becomes Air,Paul Kalanithi,Non Fiction,14.0
43,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Non Fiction,14.0
19,All the Light We Cannot See,Anthony Doerr,Fiction,14.0
123,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,Non Fiction,14.0
224,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,Non Fiction,14.0
76,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,Non Fiction,14.0
135,Inferno,Dan Brown,Fiction,14.0
260,The Hunger Games,Suzanne Collins,Fiction,14.0
259,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,Fiction,14.0
337,What Pet Should I Get? (Classic Seuss),Dr. Seuss,Fiction,14.0
88,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,Fiction,14.0
245,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Fiction,14.0
253,The Guardians: A Novel,John Grisham,Fiction,14.0
271,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,Fiction,14.0
176,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,Non Fiction,14.0
298,The Silent Patient,Alex Michaelides,Fiction,14.0
25,"Autobiography of Mark Twain, Vol. 1",Mark Twain,Non Fiction,14.0
285,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,Non Fiction,14.0
110,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,Fiction,14.0
106,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Non Fiction,14.0
294,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,Non Fiction,14.0
193,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Non Fiction,13.5
18,Alexander Hamilton,Ron Chernow,Non Fiction,13.0
181,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Non Fiction,13.0
22,And the Mountains Echoed,Khaled Hosseini,Fiction,13.0
273,The Love Dare,Stephen Kendrick,Non Fiction,13.0
183,Origin: A Novel (Robert Langdon),Dan Brown,Fiction,13.0
49,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Non Fiction,13.0
343,Where the Wild Things Are,Maurice Sendak,Fiction,13.0
151,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,Fiction,13.0
211,Switch: How to Change Things When Change Is Hard,Chip Heath,Non Fiction,13.0
153,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,Non Fiction,13.0
32,Between the World and Me,Ta-Nehisi Coates,Non Fiction,13.0
20,Allegiant,Veronica Roth,Fiction,13.0
162,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,Non Fiction,13.0
338,What Should Danny Do? (The Power to Choose Series),Adir Levy,Fiction,13.0
34,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,Fiction,13.0
268,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,Non Fiction,13.0
234,The Confession: A Novel,John Grisham,Fiction,13.0
137,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,Non Fiction,13.0
256,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,Fiction,13.0
64,Doctor Sleep: A Novel,Stephen King,Fiction,13.0
248,The Girl on the Train,Paula Hawkins,Fiction,12.5
334,Water for Elephants: A Novel,Sara Gruen,Fiction,12.0
197,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,Fiction,12.0
196,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,Fiction,12.0
195,Ready Player One: A Novel,Ernest Cline,Fiction,12.0
230,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Non Fiction,12.0
295,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,Fiction,12.0
344,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,Non Fiction,12.0
231,The Casual Vacancy,J.K. Rowling,Fiction,12.0
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,Non Fiction,12.0
99,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,Non Fiction,12.0
98,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,Non Fiction,12.0
